source_click_dt,clientType,source,total_user_series,ep2_same_day_users,ep10_same_day_users,ep20_same_day_users,ep30_same_day_users,ep50_same_day_users,ep2_3day_users,ep10_3day_users,ep20_3day_users,ep30_3day_users,ep50_3day_users
2026-01-22,ios,from_mlt,860,422,243,230,196,117,426,249,242,210,139
2026-01-22,ios,ranking_page,362,208,158,157,131,86,214,168,171,150,114
2026-01-22,Android,from_manage_subscription,86,39,24,19,16,10,40,25,21,19,12
2026-01-22,ios,from_undo_cancellation_screen,5,1,0,0,0,0,1,0,0,0,0
2026-01-22,Android,series_widget_horizontal,1,0,0,0,0,0,0,0,0,0,0
2026-01-22,both,series_widget_grid_2,182163,101080,59674,49068,43278,25593,103408,63669,53992,49044,30914
2026-01-22,both,search_results,92088,46796,25577,19937,17757,11284,47695,26845,21348,19486,13124
2026-01-22,both,search_landing_page,20562,6924,5274,5109,4863,3865,7115,5542,5469,5295,4451
2026-01-22,both,hero_widget,64139,45613,34555,32524,30583,24099,46718,36578,35307,34091,28589
2026-01-22,both,for_you_feed,11489,7176,5694,5159,4669,3181,7429,6137,5701,5317,3824
2026-01-22,both,series_widget_grid_3,116578,41178,27922,25595,23201,16183,42378,29679,28022,26246,19597
2026-01-22,both,continue_watching,151532,76300,69378,65856,63865,49916,77704,71626,69273,68748,56308
2026-01-22,both,from_notifications,13745,4073,2037,1606,1300,692,4248,2246,1862,1642,1054
2026-01-22,both,interstitials,61586,27973,19209,17242,16088,12515,29442,21140,19548,18753,15431
2026-01-22,both,from_mlt,66684,36769,23009,19854,17222,10674,37848,24923,22397,20185,13542
2026-01-22,both,ranking_page,3466,2076,1472,1344,1097,751,2130,1560,1460,1227,905
2026-01-22,both,genre_page,7113,4254,2442,2120,1798,1182,4347,2594,2317,2017,1382
2026-01-22,both,series_landscape_carousel,1817,1221,877,815,751,481,1255,944,902,855,590
2026-01-22,both,from_manage_subscription,86,39,24,19,16,10,40,25,21,19,12
2026-01-22,both,from_undo_cancellation_screen,5,1,0,0,0,0,1,0,0,0,0
2026-01-22,both,series_widget_horizontal,1,0,0,0,0,0,0,0,0,0,0
2026-01-23,Android,hero_widget,63347,44343,33076,31161,29417,23034,45345,34796,33442,32267,26555
2026-01-23,Android,series_widget_grid_2,183827,101551,60192,49367,43405,25810,103908,64099,54244,49257,31236
2026-01-23,Android,from_mlt,68723,37694,23601,20372,18028,11928,38877,25613,22924,20993,14994
2026-01-23,Android,interstitials,60722,26340,16997,15095,14076,10653,27758,18785,17112,16366,13243
2026-01-23,Android,search_results,92329,46634,25563,19920,17603,11183,47550,26881,21313,19305,12887
2026-01-23,Android,from_notifications,13713,4217,2082,1671,1439,873,4370,2272,1924,1747,1188
2026-01-23,Android,search_landing_page,19578,6528,4918,4790,4511,3519,6708,5169,5124,4943,4016
2026-01-23,Android,continue_watching,154263,77687,70418,66726,64233,50523,79173,72825,70364,69182,57080
2026-01-23,Android,series_widget_grid_3,109383,38562,25902,23562,21280,14526,39672,27570,25799,24064,17453
2026-01-23,ios,series_widget_grid_2,7216,2978,1795,1609,1440,867,3059,1915,1771,1637,1052
2026-01-23,ios,series_widget_grid_3,5474,1878,1320,1300,1197,911,1939,1412,1433,1362,1110
2026-01-23,Android,genre_page,6570,4032,2342,2011,1678,1101,4131,2497,2212,1905,1359
2026-01-23,Android,series_landscape_carousel,2122,1455,1075,1001,937,624,1497,1149,1093,1055,752
2026-01-23,ios,search_landing_page,1850,729,512,578,552,436,750,547,623,612,529
2026-01-23,Android,for_you_feed,11974,7351,5737,5246,4770,3182,7615,6150,5767,5361,3772
2026-01-23,ios,from_mlt,1111,627,369,341,307,201,640,395,370,339,232
2026-01-23,Android,ranking_page,3085,1979,1342,1220,1022,700,2035,1417,1320,1132,845
2026-01-23,ios,search_results,7500,3500,2198,2024,1846,1299,3573,2295,2165,2032,1526
2026-01-23,Android,from_manage_subscription,106,38,30,27,25,17,38,30,30,28,20
2026-01-23,ios,interstitials,2132,1124,800,779,720,562,1190,899,902,857,733
2026-01-23,ios,ranking_page,315,190,137,131,111,83,201,150,150,134,111
2026-01-23,ios,genre_page,498,283,168,147,123,82,288,182,166,143,103
2026-01-23,ios,from_undo_cancellation_screen,10,5,3,3,2,3,5,3,3,2,3
2026-01-23,Android,series_widget_horizontal,1,0,0,0,0,0,0,0,0,0,0
2026-01-23,both,series_widget_grid_2,191038,104529,61987,50976,44845,26677,106967,66014,56015,50894,32288
2026-01-23,both,series_widget_grid_3,114854,40440,27222,24862,22477,15437,41611,28982,27232,25426,18563
2026-01-23,both,continue_watching,154263,77687,70418,66726,64233,50523,79173,72825,70364,69182,57080
2026-01-23,both,from_notifications,13713,4217,2082,1671,1439,873,4370,2272,1924,1747,1188
2026-01-23,both,from_mlt,69834,38321,23970,20713,18335,12129,39517,26008,23294,21332,15226
2026-01-23,both,search_results,99810,50134,27761,21944,19449,12482,51123,29176,23478,21337,14413
2026-01-23,both,search_landing_page,21426,7257,5430,5368,5063,3955,7458,5716,5747,5555,4545
2026-01-23,both,interstitials,62854,27464,17797,15874,14796,11215,28948,19684,18014,17223,13976
2026-01-23,both,hero_widget,63347,44343,33076,31161,29417,23034,45345,34796,33442,32267,26555
2026-01-23,both,for_you_feed,11974,7351,5737,5246,4770,3182,7615,6150,5767,5361,3772
2026-01-23,both,ranking_page,3400,2169,1479,1351,1133,783,2236,1567,1470,1266,956
2026-01-23,both,genre_page,7068,4315,2510,2158,1801,1183,4419,2679,2378,2048,1462
2026-01-23,both,series_landscape_carousel,2122,1455,1075,1001,937,624,1497,1149,1093,1055,752
2026-01-23,both,from_manage_subscription,106,38,30,27,25,17,38,30,30,28,20
2026-01-23,both,from_undo_cancellation_screen,10,5,3,3,2,3,5,3,3,2,3
2026-01-23,both,series_widget_horizontal,1,0,0,0,0,0,0,0,0,0,0
